Size,MergeSort,Hybrid5,Hybrid30
95700,14538,10560,6848
95800,14442,10203,6861
95900,14387,10219,6823
96000,14478,10325,6903
96100,14405,10224,6775
96200,14457,10236,6871
96300,14613,10352,7033
96400,17638,10652,7165
96500,14660,10084,6847
96600,14418,10369,7073
96700,14797,10359,6840
96800,14808,10363,6895
96900,15109,10410,6913
97000,14773,10193,6926
97100,14600,10328,6831
97200,14771,10704,6906
97300,14570,10256,6874
97400,14571,10689,6919
97500,14617,10444,6920
97600,14782,10456,6992
97700,14823,10324,6941
97800,14728,10430,6965
97900,14644,10171,6986
98000,14736,10318,6912
98100,14927,10359,7049
98200,14780,10403,6866
98300,15241,10541,7198
98400,14859,10278,7097
98500,15115,10566,7096
98600,16259,10391,7035
98700,14721,10369,7525
98800,14655,10511,7018
98900,15062,10313,7020
99000,14840,10351,6988
99100,15228,10402,6908
99200,15289,10758,7228
99300,15166,10600,7153
99400,15172,10502,7088
99500,14831,10549,6947
99600,15513,11027,7898
99700,15260,10632,7198
99800,14864,10742,7163
99900,15085,10486,7034
100000,14933,10493,7036
