Size,MergeSort,Hybrid5,Hybrid30
93800,21242,17385,14412
93900,21421,17393,14176
94000,21649,17592,14560
94100,21907,17689,14538
94200,23818,19136,14601
94300,21448,17596,14533
94400,21866,17378,14353
94500,21315,17151,14408
94600,21429,17810,14597
94700,21799,17737,14438
94800,21422,18671,14412
94900,21517,17407,14323
95000,21409,17526,14481
95100,21653,17546,14766
95200,21501,17382,14379
95300,21602,17354,14337
95400,21762,17916,14371
95500,21557,17470,14456
95600,22004,17750,14407
95700,21870,17728,14591
95800,21686,17593,14429
95900,21826,17512,14587
96000,21762,17516,14483
96100,21607,17700,14467
96200,22200,17745,14497
96300,21819,17674,14756
96400,22223,17700,14911
96500,21879,17512,16510
96600,21883,17897,16412
96700,21919,18112,14869
96800,22188,17703,14672
96900,22095,17912,15072
97000,22371,17598,14769
97100,21798,17731,14669
97200,21913,17749,14736
97300,22404,17758,14656
97400,22093,17856,14689
97500,22086,17855,15021
97600,21913,17950,14694
97700,22113,17938,14750
97800,21868,18483,14725
97900,22275,17864,14871
98000,22114,17811,14855
98100,22395,18006,14701
98200,22328,17735,14832
98300,22220,17959,19130
98400,22407,18031,15390
98500,22727,18126,15025
98600,22262,18023,16935
98700,22306,18292,15002
98800,22402,18086,14824
98900,22489,18417,15305
99000,23644,18019,15065
99100,22740,18430,15452
99200,22283,18171,15786
99300,22685,17900,15009
99400,22669,19203,15307
99500,22788,18316,15172
99600,22770,18266,15539
99700,24447,18121,15171
99800,22482,18290,15057
99900,22970,18169,15172
100000,22632,18609,15178
