Size,MergeSort,Hybrid5,Hybrid30
66400,9983,6584,5711
66500,10029,6530,5541
66600,10025,6817,5673
66700,10284,6698,5594
66800,10264,6505,5459
66900,10162,6752,5699
67000,9903,6762,5589
67100,10198,6661,5745
67200,10140,6604,5426
67300,10085,6533,5561
67400,10083,6708,5542
67500,10104,6840,5737
67600,10257,6879,5928
67700,11054,6935,5510
67800,10088,6637,5480
67900,10280,6824,5587
68000,10575,6952,5545
68100,10425,6939,5559
68200,10305,6893,5689
68300,11486,6795,5600
68400,10292,6877,5657
68500,10435,7030,5752
68600,10349,6872,5676
68700,10355,6812,5574
68800,10482,7130,5655
68900,10495,6961,5761
69000,10470,7258,5771
69100,10508,7027,5642
69200,10407,7366,5785
69300,10371,7038,5682
69400,12879,7211,5801
69500,10305,7016,5827
69600,10416,7161,6040
69700,10507,7011,5678
69800,11683,7196,5871
69900,10479,7035,5826
70000,10564,7140,5871
70100,10422,7244,5764
70200,10524,7054,5831
70300,10555,7171,5818
70400,10429,7091,5917
70500,10544,7264,5785
70600,10528,7236,5748
70700,10481,7200,5861
70800,10553,7280,5785
70900,10605,7121,5965
71000,10540,7372,5805
71100,10549,7381,5905
71200,10778,7353,5939
71300,10710,7421,5879
71400,10760,7440,6013
71500,10795,7316,5872
71600,10857,9718,6178
71700,10719,7459,5818
71800,10774,7241,6090
71900,10784,7352,5895
72000,10744,7577,6167
72100,10744,7593,6042
72200,10886,7715,6007
72300,10860,7542,6104
72400,10924,7400,5962
72500,10933,7681,6014
72600,10820,7507,6107
72700,11071,7656,6161
72800,10885,7574,6147
72900,11006,7534,6435
73000,11097,7474,6012
73100,11020,7736,6173
73200,11252,7620,6115
73300,11007,7694,6247
73400,10941,7861,5997
73500,11938,7665,6224
73600,11102,7711,6186
73700,11071,7867,6131
73800,11080,7741,6100
73900,11019,7671,6145
74000,11094,7715,6119
74100,11133,7611,6130
74200,11145,7682,6230
74300,11148,7777,6131
74400,11230,7831,6355
74500,11205,7927,6174
74600,11440,7938,6247
74700,11264,8099,6307
74800,11490,8035,6232
74900,11421,7848,6279
75000,11316,8077,6273
75100,11323,8165,6839
75200,11486,7934,6181
75300,11589,9468,7203
75400,11692,8372,6359
75500,11527,7984,6407
75600,11465,8062,6258
75700,11338,8361,6278
75800,11338,8039,6473
75900,11448,8056,6404
76000,11475,8068,6334
76100,11671,8241,6293
76200,11694,8178,6330
76300,11597,8102,6365
76400,11656,8619,6537
76500,11806,8227,6519
76600,11709,8383,6515
76700,11597,8337,6533
76800,11582,8337,6536
76900,11728,8239,6452
77000,11612,8217,6363
77100,12036,8364,6537
77200,11649,8413,6481
77300,11671,8149,6472
77400,11538,8359,6520
77500,11698,8645,6446
77600,12178,8331,6501
77700,11649,8393,6724
77800,11683,8330,6581
77900,11758,8499,6673
78000,11813,8360,6501
78100,11671,8541,6807
78200,11867,8566,6715
78300,11743,8516,6738
78400,11853,8525,6605
78500,12041,8735,6636
78600,12016,8493,6582
78700,11794,8549,6581
78800,17861,9615,7564
78900,11952,8541,6832
79000,11834,8699,6625
79100,11793,8591,6746
79200,11797,8600,6630
79300,12269,8769,6628
79400,11998,8580,6660
79500,11988,8603,6702
79600,11982,8950,6856
79700,12059,8702,6649
79800,12032,8942,6725
79900,11916,8649,6677
80000,11829,8991,6640
80100,11908,8814,6712
80200,11979,8717,6736
80300,11993,8710,6810
80400,12070,8704,6880
80500,12511,9042,6973
80600,11989,8913,6807
80700,11976,8729,6768
80800,11997,8954,6792
80900,12239,8838,6781
81000,12128,8716,6858
81100,12297,8811,7308
81200,12298,8907,7142
